Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-12 04:24:53,95,177
1,2026-02-12 04:25:03,95,177
2,2026-02-12 04:25:14,52,179
3,2026-02-12 04:25:24,52,179
4,2026-02-12 04:25:34,52,179
5,2026-02-12 04:25:44,7,179
6,2026-02-12 04:25:54,6,179
7,2026-02-12 04:26:04,6,179
8,2026-02-12 04:26:14,6,179
9,2026-02-12 04:26:24,7,182
10,2026-02-12 04:26:35,7,182
11,2026-02-12 04:26:45,10,182
12,2026-02-12 04:26:55,7,183
13,2026-02-12 04:27:05,7,183
14,2026-02-12 04:27:15,6,183
15,2026-02-12 04:27:25,6,183
16,2026-02-12 04:27:35,7,183
17,2026-02-12 04:27:45,7,183
18,2026-02-12 04:27:55,7,184
19,2026-02-12 04:28:06,9,184
20,2026-02-12 04:28:16,9,184
21,2026-02-12 04:28:26,7,184
22,2026-02-12 04:28:36,7,184
23,2026-02-12 04:28:46,7,184
24,2026-02-12 04:28:56,8,186
25,2026-02-12 04:29:06,7,186
26,2026-02-12 04:29:16,7,186
27,2026-02-12 04:29:26,9,182
28,2026-02-12 04:29:37,7,182
29,2026-02-12 04:29:47,7,182
30,2026-02-12 04:29:57,92,185
31,2026-02-12 04:30:07,227,184
32,2026-02-12 04:30:17,227,184
33,2026-02-12 04:30:27,227,202
34,2026-02-12 04:30:37,216,208
35,2026-02-12 04:30:48,216,208
36,2026-02-12 04:30:58,238,232
37,2026-02-12 04:31:08,238,232
38,2026-02-12 04:31:18,238,232
39,2026-02-12 04:31:28,223,240
40,2026-02-12 04:31:38,243,247
41,2026-02-12 04:31:48,243,247
42,2026-02-12 04:31:58,226,254
43,2026-02-12 04:32:09,235,257
44,2026-02-12 04:32:19,235,257
45,2026-02-12 04:32:29,235,267
46,2026-02-12 04:32:39,235,267
47,2026-02-12 04:32:49,235,267
48,2026-02-12 04:32:59,218,275
49,2026-02-12 04:33:09,232,284
50,2026-02-12 04:33:19,232,284
51,2026-02-12 04:33:30,228,287
52,2026-02-12 04:33:40,235,295
53,2026-02-12 04:33:50,235,295
54,2026-02-12 04:34:00,225,297
55,2026-02-12 04:34:10,239,314
56,2026-02-12 04:34:20,242,331
57,2026-02-12 04:34:30,242,331
58,2026-02-12 04:34:40,242,331
59,2026-02-12 04:34:51,232,342
60,2026-02-12 04:35:01,232,342
61,2026-02-12 04:35:11,232,342
62,2026-02-12 04:35:21,56,343
